date,open,high,close,low
2020/3/23,1000,1035.28,1019,991.52
2020/3/20,1011,1043,1035.28,1011
2020/3/19,993.99,1015,996,960.1
2020/3/18,1040,1060,1007.99,1007.99
2020/3/17,1055,1078,1045.1,1011.12
2020/3/16,1103.98,1107.95,1067,1062
2020/3/13,1090,1128.98,1112.03,1080
2020/3/12,1141.22,1153,1138.5,1125.1
2020/3/11,1155.5,1169.58,1158.52,1141
2020/3/10,1113,1168,1156,1113
2020/3/9,1135,1135,1114.01,1111.31
2020/3/6,1163,1176,1155.5,1151.98
2020/3/5,1136.31,1174.99,1171,1130.56
2020/3/4,1125,1139,1128.92,1116.24
2020/3/3,1098,1118.88,1113,1098
2020/3/2,1050.11,1096.55,1086.01,1050.01
2020/2/28,1070.3,1082,1057,1049.97
2020/2/27,1076,1094.99,1087.39,1076
2020/2/26,1062,1084,1073.7,1055
2020/2/25,1078,1082.09,1074.81,1067.88
2020/2/24,1105.5,1110,1087.18,1085.5
2020/2/21,1111.46,1123.54,1112.88,1110.01
2020/2/20,1096.7,1124,1118,1095.41
2020/2/19,1085,1101.5,1096.5,1078
2020/2/18,1090.01,1096.88,1084,1083
2020/2/17,1082.5,1096.19,1093.82,1082.4
2020/2/14,1090.45,1093.51,1088,1083.11
2020/2/13,1098,1113.89,1091,1088.01
2020/2/12,1089,1098.79,1097.27,1085.88
2020/2/11,1063,1099.68,1098,1062.8
2020/2/10,1062,1074.6,1066.49,1057.2
2020/2/7,1070.01,1077,1076,1061.02
2020/2/6,1059.43,1075,1071,1052.02
2020/2/5,1050,1054,1049.99,1033.03
2020/2/4,1015,1057,1038.01,1011.01
2020/2/3,985,1010.68,1003.92,980
2020/1/23,1076,1076,1052.8,1037
2020/1/22,1070,1084,1075.51,1055.38
2020/1/21,1081,1087,1075.3,1072.3
2020/1/20,1111.86,1111.86,1091,1082
2020/1/17,1110,1112.78,1107.5,1101.01
2020/1/16,1118.87,1118.87,1107,1102.58
2020/1/15,1109.01,1121.6,1112.13,1105
2020/1/14,1124.2,1124.89,1107.4,1103
2020/1/13,1112.5,1129.2,1124.27,1112
2020/1/10,1109,1115.99,1112.5,1102.5
2020/1/9,1094,1105.39,1102.7,1090
2020/1/8,1085.05,1095.5,1088.14,1082.58
2020/1/7,1077.5,1099,1094.53,1076.4
2020/1/6,1070.86,1092.9,1077.99,1067.3
2020/1/3,1117,1117,1078.56,1076.9
2020/1/2,1128,1145.06,1130,1116
